"origin","destination","storing","cause","date","dur_hours","dur_minutes"
"Arnhem","Frankfurt (M) Hbf","Treinstoring Arnhem","inzet van de brandweer",2016-01-26 11:32:00,"0","11"
"Arnhem","Nijmegen","Treinstoring Arnhem","inzet van de brandweer",2016-01-26 11:32:00,"0","11"
"Arnhem","Tiel","Treinstoring Arnhem","inzet van de brandweer",2016-01-26 11:32:00,"0","11"
"Arnhem","Utrecht Centraal","Treinstoring Arnhem","inzet van de brandweer",2016-01-26 11:32:00,"0","11"
"Arnhem","Winterswijk","Treinstoring Arnhem","inzet van de brandweer",2016-01-26 11:32:00,"0","11"
"Arnhem","Zutphen","Treinstoring Arnhem","inzet van de brandweer",2016-01-26 11:32:00,"0","11"
"Groningen","Leeuwarden","Treinstoring Groningen-Leeuwarden","defecte trein",2016-01-26 08:40:00,"0","13"
"Amersfoort","Ede-Wageningen","Treinstoring Amersfoort-Ede-Wageningen","herstelwerkzaamheden",2016-01-26 06:00:00,NA,NA
"Groningen","Zwolle","Treinstoring Zwolle-Groningen","overwegstoringen",2016-01-25 20:23:00,"3","14"
"Hoek van Holland Strand","Rotterdam Centraal","Treinstoring Hoek v H. Strand-Rotterdam C.","defect materieel",2016-01-25 17:27:00,"0","34"
"Arnhem","Nijmegen","Treinstoring Arnhem-Nijmegen","defecte trein",2016-01-25 15:06:00,"0","14"
"Alkmaar","Amsterdam Centraal","Treinstoring Amsterdam C.-Alkmaar/Hoofddorp/Leiden C./Rotterdam C.","seinstoring",2016-01-25 13:41:00,"1","23"
"Amsterdam Centraal","Schiphol Airport","Treinstoring Amsterdam C.-Alkmaar/Hoofddorp/Leiden C./Rotterdam C.","seinstoring",2016-01-25 13:41:00,"1","23"
"Leiden Centraal","Schiphol Airport","Treinstoring Amsterdam C.-Alkmaar/Hoofddorp/Leiden C./Rotterdam C.","seinstoring",2016-01-25 13:41:00,"1","23"
"Amersfoort","Zwolle","Treinstoring Amersfoort-Schothorst/Vathorst/Zwolle","wisselstoring",2016-01-25 12:14:00,"1","13"
"Amersfoort","Amsterdam Centraal","Treinstoring Amsterdam C./Schiphol Airport-Almere C./Hilversum","defecte trein",2016-01-25 11:41:00,"0","53"
"Amersfoort","Schiphol Airport","Treinstoring Amsterdam C./Schiphol Airport-Almere C./Hilversum","defecte trein",2016-01-25 11:41:00,"0","53"
"Amsterdam Centraal","Lelystad Centrum","Treinstoring Amsterdam C./Schiphol Airport-Almere C./Hilversum","defecte trein",2016-01-25 11:41:00,"0","53"
"Lelystad Centrum","Schiphol Airport","Treinstoring Amsterdam C./Schiphol Airport-Almere C./Hilversum","defecte trein",2016-01-25 11:41:00,"0","53"
"Amersfoort","Apeldoorn","Treinstoring Amersfoort-Deventer","seinstoring",2016-01-25 07:47:00,"2","45"
"Apeldoorn","Deventer","Treinstoring Amersfoort-Deventer","seinstoring",2016-01-25 07:47:00,"2","45"
